season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,2,Final,1,Feb 22 @6:00 PM,92383,Scott County Central,436,,79,True,Delta,269,,25,False,54,Scott County Central,436,False
2012-2013,2012,1,2,Semifinals,2,Feb 19 @5:00 PM,92383,Scott County Central,436,1,77,True,The Fulton School at St. Albans,513,4,27,False,50,Scott County Central,436,False
2012-2013,2012,1,2,Semifinals,3,Feb 16 @12:00 PM,92383,Delta,269,2,44,True,McKinley Classical Leadership,811,3,40,False,4,Scott County Central,436,False
2012-2013,2012,1,3,Final,1,Feb 20 @6:00 PM,91738,Bunker,248,,53,True,South Iron,448,,50,False,3,Bunker,248,False
2012-2013,2012,1,3,Semifinals,2,Feb 16 @3:00 PM,91738,Bunker,248,1,75,True,Eminence,282,4,28,False,47,Bunker,248,False
2012-2013,2012,1,3,Semifinals,3,Feb 16 @1:30 PM,91738,South Iron,448,2,40,True,Lesterville,341,3,33,False,7,Bunker,248,False
2012-2013,2012,1,4,Final,1,Feb 22 @5:00 PM,92705,Chadwick,256,,58,True,Verona,484,,24,False,34,Chadwick,256,False
2012-2013,2012,1,4,Semifinals,2,Feb 18 @6:00 PM,92705,Chadwick,256,1,76,True,Hurley,324,,41,False,35,Chadwick,256,False
2012-2013,2012,1,4,Semifinals,3,Feb 18 @7:30 PM,92705,Exeter,400,,18,False,Verona,484,,30,True,12,Chadwick,256,False
2012-2013,2012,1,4,Quarterfinals,5,Feb 16 @9:30 AM,92705,Hurley,324,4,69,True,Bradleyville,238,5,46,False,23,Chadwick,256,False
2012-2013,2012,1,4,Quarterfinals,6,Feb 16 @11:00 AM,92705,Exeter,400,2,38,True,Lutie,130,7,24,False,14,Chadwick,256,False
2012-2013,2012,1,4,Quarterfinals,7,Feb 16 @12:30 PM,92705,Verona,484,3,50,True,Niangua,381,6,22,False,28,Chadwick,256,False
2012-2013,2012,1,5,Final,1,Feb 23 @5:00 PM,91143,Walnut Grove,488,,64,True,Dadeville,263,,26,False,38,Walnut Grove,488,False
2012-2013,2012,1,5,Semifinals,2,Feb 20 @6:30 PM,91143,Walnut Grove,488,,85,True,Lockwood,126,,32,False,53,Walnut Grove,488,False
2012-2013,2012,1,5,Semifinals,3,Feb 20 @5:00 PM,91143,Dadeville,263,,56,True,Fair Play,291,,26,False,30,Walnut Grove,488,False
2012-2013,2012,1,5,Quarterfinals,4,Feb 18 @4:00 PM,91143,Walnut Grove,488,1,88,True,Sheldon,438,8,12,False,76,Walnut Grove,488,False
2012-2013,2012,1,5,Quarterfinals,5,Feb 18 @5:30 PM,91143,Lockwood,126,4,47,True,Halfway,310,5,44,False,3,Walnut Grove,488,False
2012-2013,2012,1,5,Quarterfinals,6,Feb 18 @7:00 PM,91143,Dadeville,263,2,61,True,Golden City,303,7,19,False,42,Walnut Grove,488,False
2012-2013,2012,1,5,Quarterfinals,7,Feb 18 @8:30 PM,91143,Fair Play,291,3,52,True,Everton,286,6,40,False,12,Walnut Grove,488,False
2012-2013,2012,1,6,Final,1,Feb 23 @2:30 PM,91854,Weaubleau,576,,45,False,St. Elizabeth,458,,70,True,25,St. Elizabeth,458,False
2012-2013,2012,1,6,Semifinals,2,Feb 22 @6:00 PM,91854,Weaubleau,576,,80,True,Tuscumbia,477,,74,False,6,St. Elizabeth,458,False
2012-2013,2012,1,6,Semifinals,3,Feb 22 @7:30 PM,91854,St. Elizabeth,458,,56,True,Macks Creek,349,,32,False,24,St. Elizabeth,458,False
2012-2013,2012,1,6,Quarterfinals,4,Feb 19 @4:00 PM,91854,Weaubleau,576,1,76,True,Humansville,322,8,13,False,63,St. Elizabeth,458,False
2012-2013,2012,1,6,Quarterfinals,5,Feb 19 @5:30 PM,91854,Tuscumbia,477,4,65,True,Climax Springs,268,5,35,False,30,St. Elizabeth,458,False
2012-2013,2012,1,6,Quarterfinals,6,Feb 19 @7:00 PM,91854,St. Elizabeth,458,2,72,True,Wheatland,496,7,36,False,36,St. Elizabeth,458,False
